Name_sequence	Genome_length	Virus_name	Complete_segment_name
NC_030861	2397	Fusarium poae mitovirus 1	Fusarium poae mitovirus 1, complete genome
NC_031110	93129	Pseudomonas phage phiMK	Pseudomonas phage phiMK, complete genome
NC_031016	40273	Lactococcus phage PLgT-1	Lactococcus phage PLgT-1, complete genome
NC_031065	159878	Salmonella phage vB_SnwM_CGG4-1	Salmonella phage vB_SnwM_CGG4-1, complete genome
NC_030844	6434	Bat tymo-like virus	Bat tymo-like virus, complete genome
NC_031096	44570	Pectobacterium phage PP90	Pectobacterium phage PP90, complete genome
NC_031068	43902	Pectobacterium phage PP16	Pectobacterium phage PP16, complete genome
NC_031014	40008	Pseudomonas phage Andromeda	Pseudomonas phage Andromeda, complete genome
NC_031111	53623	Mycobacterium phage Gompeii16	Mycobacterium phage Gompeii16, complete genome
NC_031041	52501	Mycobacterium phage Papez	Mycobacterium phage Papez, complete genome
NC_031067	52496	Mycobacterium phage Makemake	Mycobacterium phage Makemake, complete genome
NC_030922	6673	Mamastrovirus 1	Mamastrovirus 1, complete genome
NC_031022	108050	Shigella phage SHSML-45	Shigella phage SHSML-45, complete genome
NC_031011	168993	Shigella phage SHFML-26	Shigella phage SHFML-26, complete genome
NC_031085	166634	Shigella phage SHBML-50-1	Shigella phage SHBML-50-1, complete genome
NC_031044	22179	Lactococcus phage M6165	Lactococcus phage M6165, complete genome
NC_030873	5224	Mink bocavirus 1	Mink bocavirus 1, complete genome
NC_031002	21697	Lactococcus phage M6162	Lactococcus phage M6162, complete genome
NC_031075	22240	Lactococcus phage M5938	Lactococcus phage M5938, complete genome
NC_031009	22884	Lactococcus phage D4412	Lactococcus phage D4412, complete genome
NC_031071	22825	Lactococcus phage D4410	Lactococcus phage D4410, complete genome
NC_031058	58566	Pseudomonas phage NP1	Pseudomonas phage NP1, complete genome
NC_031101	33697	Weissella phage WCP30	Weissella phage WCP30, complete genome
NC_031063	72697	Pseudomonas phage PEV2	Pseudomonas phage PEV2, complete genome
NC_031114	39235	Escherichia phage 64795_ec1	Escherichia phage 64795_ec1, complete genome
NC_031026	49167	Salmonella phage phSE-2	Salmonella phage phSE-2, complete genome
NC_031008	17861	Staphylococcus phage SLPW	Staphylococcus phage SLPW, complete genome
NC_031093	12978	Sanxia Water Strider Virus 5	Sanxia Water Strider Virus 5, complete genome
NC_031088	12930	Sanxia water strider virus 4	Sanxia water strider virus 4, complete genome
NC_031141	12229	Sanxia Water Strider Virus 1	Sanxia Water Strider Virus 1, segment L
NC_031083	13169	Huangpi Tick Virus 3	Huangpi Tick Virus 3, complete genome
NC_030876	1918	Sophora japonica powdery mildew-associated partitivirus	Sophora japonica powdery mildew-associated partitivirus, segment RNA2
NC_030875	1955	Sophora japonica powdery mildew-associated partitivirus	Sophora japonica powdery mildew-associated partitivirus, segment RNA1
NC_030880	2496	Fusarium poae alternavirus 1	Fusarium poae alternavirus 1, segment 2
NC_031135	11823	Huangpi Tick Virus 1	Huangpi Tick Virus 1, segment L
NC_031079	11843	Bole Tick Virus 2	Bole Tick Virus 2, complete genome
NC_031033	217124	Volepox virus	Volepox virus, complete genome
NC_031035	61626	Mycobacterium phage Gengar	Mycobacterium phage Gengar, complete genome
NC_030872	6608	Fusarium poae negative-stranded virus 2	Fusarium poae negative-stranded virus 2, complete genome
NC_031080	160985	Mycobacterium phage Tonenili	Mycobacterium phage Tonenili, complete genome
NC_031097	52077	Gordonia phage Zirinka	Gordonia phage Zirinka, complete genome
NC_031052	57804	Gordonia phage Twister6	Gordonia phage Twister6, complete genome
NC_031001	66611	Gordonia phage Terapin	Gordonia phage Terapin, complete genome
NC_030871	7747	Fusarium poae negative-stranded virus 1	Fusarium poae negative-stranded virus 1, complete genome
NC_030870	4224	Fusarium poae mycovirus 2	Fusarium poae mycovirus 2, complete genome
NC_030881	2482	Fusarium poae alternavirus 1	Fusarium poae alternavirus 1, segment 3
NC_031019	41809	Enterobacteria phage UAB_Phi20	Enterobacteria phage UAB_Phi20, complete genome
NC_031106	9112	Rosavirus C	Rosavirus C, complete genome
NC_031105	8938	Rosavirus B	Rosavirus B, complete genome
NC_030883	3559	Fusarium poae alternavirus 1	Fusarium poae alternavirus 1, segment 1
NC_030877	2231	Fusarium poae virus 1-240374	Fusarium poae virus 1-240374, segment 2
NC_031089	8525	Ligustrum virus A	Ligustrum virus A, complete genome
NC_031113	44513	Escherichia phage Gluttony	Escherichia phage Gluttony, complete genome
NC_031081	45206	Escherichia phage Envy	Escherichia phage Envy, complete genome
NC_031051	37933	Enterococcus phage SANTOR1	Enterococcus phage SANTOR1, complete genome
NC_031128	158081	Salmonella phage vB_SalM_PM10	Salmonella phage vB_SalM_PM10, complete genome
NC_031055	43773	Bacillus phage PfEFR-5	Bacillus phage PfEFR-5, complete genome
NC_031091	43277	Pseudomonas phage MD8	Pseudomonas phage MD8, complete genome
NC_031077	41760	Enterobacter phage Tyrion	Enterobacter phage Tyrion, complete genome
NC_031048	41918	Enterobacter phage Arya	Enterobacter phage Arya, complete genome
NC_030868	6379	Fusarium poae fusarivirus 1	Fusarium poae fusarivirus 1, complete genome
NC_031090	169621	Shigella phage SHSML-52-1	Shigella phage SHSML-52-1, complete genome
NC_031129	103445	Salmonella phage SJ46	Salmonella phage SJ46, complete genome
NC_031045	157855	Salmonella phage GG32	Salmonella phage GG32, complete genome
NC_031021	41224	Salmonella phage MA12	Salmonella phage MA12, complete genome
NC_031217	10925	Shuangao Bedbug Virus 2	Shuangao Bedbug Virus 2, complete genome
NC_031220	13486	Shayang Spider Virus 1	Shayang Spider Virus 1, segment L
NC_030867	5124	Fusarium poae victorivirus 1	Fusarium poae victorivirus 1, complete genome
NC_031216	15462	Shayang Fly Virus 3	Shayang Fly Virus 3, complete genome
NC_031215	12291	Shayang Fly Virus 2	Shayang Fly Virus 2, complete genome
NC_031214	13732	Shayang Fly Virus 1	Shayang Fly Virus 1, complete genome
NC_031244	12774	Xincheng Mosquito Virus	Xincheng Mosquito Virus, complete genome
NC_031226	53717	Gordonia phage BaxterFox	Gordonia phage BaxterFox, complete genome
NC_031224	59443	Arthrobacter phage Mudcat	Arthrobacter phage Mudcat, complete genome
NC_031225	13490	Wuhan Insect virus 4	Wuhan Insect virus 4, complete genome
NC_031103	165772	Escherichia phage vB_EcoM-UFV13	Escherichia phage vB_EcoM-UFV13, complete genome
NC_031036	35068	Lactobacillus phage PLE2	Lactobacillus phage PLE2, complete genome
NC_031125	41005	Lactobacillus phage PLE3	Lactobacillus phage PLE3, complete genome
NC_031031	52738	Gordonia phage Remus	Gordonia phage Remus, complete genome
NC_031004	41857	Gordonia phage Nyceirae	Gordonia phage Nyceirae, complete genome
NC_031109	78302	Gordonia phage Jumbo	Gordonia phage Jumbo, complete genome
NC_031060	52726	Gordonia phage JSwag	Gordonia phage JSwag, complete genome
NC_031099	44536	Gordonia phage Hedwig	Gordonia phage Hedwig, complete genome
NC_030882	2431	Fusarium poae virus 1-240374	Fusarium poae virus 1-240374, segment 1
NC_030878	2403	Fusarium poae partitivirus 2	Fusarium poae partitivirus 2, segment 1
NC_031028	45285	Gordonia phage Ghobes	Gordonia phage Ghobes, complete genome
NC_031122	44929	Gordonia phage Eyre	Gordonia phage Eyre, complete genome
NC_031029	93686	Gordonia phage Cucurbita	Gordonia phage Cucurbita, complete genome
NC_031118	54167	Gordonia phage CarolAnn	Gordonia phage CarolAnn, complete genome
NC_031072	47898	Gordonia phage CaptainKirk2	Gordonia phage CaptainKirk2, complete genome
NC_031074	92580	Gordonia phage Bantam	Gordonia phage Bantam, complete genome
NC_031120	241147	Erwinia phage vB_EamM_Caitlin	Erwinia phage vB_EamM_Caitlin, complete genome
NC_031043	229501	Erwinia phage vB_EamM_Phobos	Erwinia phage vB_EamM_Phobos, complete genome
NC_031010	246390	Erwinia phage vB_EamM_Kwan	Erwinia phage vB_EamM_Kwan, complete genome
NC_031127	240761	Erwinia phage vB_EamM_Huxley	Erwinia phage vB_EamM_Huxley, complete genome
NC_031007	223935	Erwinia phage vB_EamM_EarlPhillipIV	Erwinia phage vB_EamM_EarlPhillipIV, complete genome
NC_031126	244840	Erwinia phage vB_EamM_ChrisDB	Erwinia phage vB_EamM_ChrisDB, complete genome
NC_031107	246291	Erwinia phage vB_EamM_Asesino	Erwinia phage vB_EamM_Asesino, complete genome
NC_031032	24320	Bacillus phage Stitch	Bacillus phage Stitch, complete genome
NC_031015	26504	Bacillus phage Claudi	Bacillus phage Claudi, complete genome
NC_030879	2413	Fusarium poae partitivirus 2	Fusarium poae partitivirus 2, segment 2
NC_030866	2054	Fusarium poae narnavirus 2	Fusarium poae narnavirus 2, complete genome
NC_030865	2297	Fusarium poae narnavirus 1	Fusarium poae narnavirus 1, complete genome
NC_031121	25908	Bacillus phage Aurora	Bacillus phage Aurora, complete genome
NC_031054	162415	Bacillus phage DirtyBetty	Bacillus phage DirtyBetty, complete genome
NC_030887	2220	Common bean-associated gemycircularvirus	Common bean-associated gemycircularvirus, complete genome
NC_030888	2121	Sclerotium hydrophilum virus 1	Sclerotium hydrophilum virus 1, segment 1
NC_030891	1953	Sclerotium hydrophilum virus 1	Sclerotium hydrophilum virus 1, segment 2
NC_031012	162151	Bacillus phage Kida	Bacillus phage Kida, complete genome
NC_031082	87662	Escherichia phage vB_EcoM_Alf5	Escherichia phage vB_EcoM_Alf5, complete genome
NC_031073	94555	Pseudomonas phage vB_PaeM_MAG1	Pseudomonas phage vB_PaeM_MAG1, complete genome
NC_031104	72979	Pseudomonas phage vB_PaeP_MAG4	Pseudomonas phage vB_PaeP_MAG4, complete genome
NC_030889	1959	Arabidopsis halleri partitivirus 1	Arabidopsis halleri partitivirus 1, segment 1
NC_030890	1763	Arabidopsis halleri partitivirus 1	Arabidopsis halleri partitivirus 1, segment 2
NC_031143	2171	Sanxia Water Strider Virus 1	Sanxia Water Strider Virus 1, segment S
NC_031038	222832	Skunkpox virus	Skunkpox virus, complete genome
NC_031046	17641	Staphylococcus phage BP39	Staphylococcus phage BP39, complete genome
NC_031023	32649	Streptococcus virus 9874	Streptococcus virus 9874, complete genome
NC_031094	33105	Streptococcus virus 9872	Streptococcus virus 9872, complete genome
NC_031258	39696	Salmonella phage BP12A	Salmonella phage BP12A, complete genome
NC_031235	194437	Cyanophage S-RIM32	Cyanophage S-RIM32, complete genome
NC_031283	14731	Wuhan House Fly Virus 2	Wuhan House Fly Virus 2, complete genome
NC_031142	4193	Sanxia Water Strider Virus 1	Sanxia Water Strider Virus 1, segment M
NC_031140	1709	Huangpi Tick Virus 2	Huangpi Tick Virus 2, segment S
NC_031282	12651	Wuhan House Fly Virus 1	Wuhan House Fly Virus 1, complete genome
NC_031278	12247	Wuhan Fly Virus 2	Wuhan Fly Virus 2, complete genome
NC_031291	12073	Wenzhou Tick Virus	Wenzhou Tick Virus, segment L
NC_031248	12860	Wenzhou Crab Virus 3	Wenzhou Crab Virus 3, complete genome
NC_031275	9591	Wenzhou Crab Virus 1	Wenzhou Crab Virus 1, complete genome
NC_031273	11280	Taishun Tick Virus	Taishun Tick Virus, complete genome
NC_031272	13408	Tacheng Tick Virus 7	Tacheng Tick Virus 7, complete genome
NC_031270	10787	Tacheng Tick Virus 6	Tacheng Tick Virus 6, complete genome
NC_031268	8683	Tacheng Tick Virus 3	Tacheng Tick Virus 3, complete genome
NC_031138	6441	Huangpi Tick Virus 2	Huangpi Tick Virus 2, segment L
NC_031284	12184	Tacheng Tick Virus 1	Tacheng Tick Virus 1, segment L
NC_031242	174307	Cyanophage S-RIM50	Cyanophage S-RIM50, complete genome
NC_031245	221908	Bacillus phage SP-15	Bacillus phage SP-15, complete genome
NC_031274	50509	Pseudomonas phage O4	Pseudomonas phage O4, complete genome
NC_031279	52129	Mycobacterium phage Bactobuster	Mycobacterium phage Bactobuster, complete genome
NC_031264	46877	Brucella phage BiPBO1	Brucella phage BiPBO1, complete genome
NC_031139	3568	Huangpi Tick Virus 2	Huangpi Tick Virus 2, segment M
NC_031137	1969	Huangpi Tick Virus 1	Huangpi Tick Virus 1, segment S
NC_031260	41170	Enterococcus phage Ec-ZZ2	Enterococcus phage Ec-ZZ2, complete genome
NC_031280	104906	Acinetobacter phage vB_AbaM_phiAbaA1	Acinetobacter phage vB_AbaM_phiAbaA1, complete genome
NC_031250	52437	Salmonella phage BP63	Salmonella phage BP63, complete genome
NC_031228	60606	Salmonella phage BP12C	Salmonella phage BP12C, complete genome
NC_031271	43602	Salmonella phage BP12B	Salmonella phage BP12B, complete genome
NC_031261	48670	Mycobacterium phage Shipwreck	Mycobacterium phage Shipwreck, complete genome
NC_031263	53935	Mycobacterium phage EvilGenius	Mycobacterium phage EvilGenius, complete genome
NC_031230	98136	Gordonia phage Yvonnetastic	Gordonia phage Yvonnetastic, complete genome
NC_031269	51884	Gordonia phage Yeezy	Gordonia phage Yeezy, complete genome
NC_031239	59337	Gordonia phage Vivi2	Gordonia phage Vivi2, complete genome
NC_031249	50127	Gordonia phage UmaThurman	Gordonia phage UmaThurman, complete genome
NC_031136	4675	Huangpi Tick Virus 1	Huangpi Tick Virus 1, segment M
NC_031130	2266	Cannabis cryptic virus	Cannabis cryptic virus, segment 2
NC_031251	47880	Gordonia phage SoilAssassin	Gordonia phage SoilAssassin, complete genome
NC_031255	46895	Gordonia phage Schwabeltier	Gordonia phage Schwabeltier, complete genome
NC_031134	2397	Cannabis cryptic virus	Cannabis cryptic virus, segment 1
NC_031223	1233	Shuangao Insect Virus 1	Shuangao Insect Virus 1, segment S
NC_031219	1940	Shayang Spider Virus 1	Shayang Spider Virus 1, segment S
NC_031237	49286	Gordonia phage Obliviate	Gordonia phage Obliviate, complete genome
